company,job_category,gender,count
HP Inc.,Executives,male,158
HP Inc.,Managers,female,560
HP Inc.,Managers,male,1389
HP Inc.,Previous_totals,female,23801
HP Inc.,Previous_totals,male,48350
HP Inc.,Professionals,female,2447
HP Inc.,Professionals,male,4848
HP Inc.,Sales workers,female,486
HP Inc.,Sales workers,male,1100
HP Inc.,Service workers,female,0
HP Inc.,Service workers,male,0
HP Inc.,Technicians,female,270
HP Inc.,Technicians,male,1741
HP Inc.,Totals,female,4220
HP Inc.,Totals,male,9393
HP Inc.,laborers and helpers,female,4
HP Inc.,laborers and helpers,male,2
HP Inc.,operatives,female,2
HP Inc.,operatives,male,4
HPE,Administrative support,female,2359
HPE,Administrative support,male,561
HPE,Craft workers,female,0
HPE,Craft workers,male,0
HPE,Executives,female,103
HPE,Executives,male,496
HPE,Managers,female,1757
HPE,Managers,male,4183
HPE,Previous_totals,female,0
HPE,Previous_totals,male,0
HPE,Professionals,female,11273
HPE,Professionals,male,22850
HPE,Sales workers,female,972
HPE,Sales workers,male,3507
HPE,Service workers,female,0
HPE,Service workers,male,0
HPE,Technicians,female,614
HPE,Technicians,male,3063
HPE,Totals,female,17195
HPE,Totals,male,34794
HPE,laborers and helpers,female,96
HPE,laborers and helpers,male,87
HPE,operatives,female,21
HPE,operatives,male,47
Intel,Administrative support,female,818
Intel,Administrative support,male,144
Intel,Craft workers,female,27
Intel,Craft workers,male,360
Intel,Executives,female,14
Intel,Executives,male,92
Intel,Managers,female,1534
Intel,Managers,male,5179
Intel,Previous_totals,female,13157
Intel,Previous_totals,male,40576
Intel,Professionals,female,9866
Intel,Professionals,male,26294
Intel,Sales workers,female,326
Intel,Sales workers,male,993
Intel,Service workers,female,0
Intel,Service workers,male,0
Intel,Technicians,female,1465
Intel,Technicians,male,7021
Intel,Totals,female,14051
Intel,Totals,male,40084
Intel,laborers and helpers,female,0
Intel,laborers and helpers,male,1
Intel,operatives,female,1
Intel,operatives,male,0
Intuit,Administrative support,female,730
Intuit,Administrative support,male,458
Intuit,Craft workers,female,0
Intuit,Craft workers,male,0
Intuit,Executives,female,30
Intuit,Executives,male,73
Intuit,Managers,female,390
Intuit,Managers,male,535
Intuit,Previous_totals,female,2636
Intuit,Previous_totals,male,3728
Intuit,Professionals,female,1241
Intuit,Professionals,male,2059
Intuit,Sales workers,female,136
Intuit,Sales workers,male,203
Intuit,Service workers,female,0
Intuit,Service workers,male,0
Intuit,Technicians,female,11
Intuit,Technicians,male,45
Intuit,Totals,female,2538
Intuit,Totals,male,3373
Intuit,laborers and helpers,female,0
Intuit,laborers and helpers,male,0
Intuit,operatives,female,0
Intuit,operatives,male,0
LinkedIn,Administrative support,female,48
LinkedIn,Administrative support,male,15
LinkedIn,Craft workers,female,0
LinkedIn,Craft workers,male,0
LinkedIn,Executives,female,120
LinkedIn,Executives,male,206
LinkedIn,Managers,female,304
LinkedIn,Managers,male,524
LinkedIn,Previous_totals,female,2516
LinkedIn,Previous_totals,male,3763
LinkedIn,Professionals,female,1551
LinkedIn,Professionals,male,2604
LinkedIn,Sales workers,female,650
LinkedIn,Sales workers,male,608
LinkedIn,Service workers,female,0
LinkedIn,Service workers,male,0
LinkedIn,Technicians,female,4
LinkedIn,Technicians,male,21
LinkedIn,Totals,female,2677
LinkedIn,Totals,male,3978
LinkedIn,laborers and helpers,female,0
LinkedIn,laborers and helpers,male,0
LinkedIn,operatives,female,0
LinkedIn,operatives,male,0
Lyft,Administrative support,female,232
Lyft,Administrative support,male,186
Lyft,Craft workers,female,0
Lyft,Craft workers,male,0
Lyft,Executives,female,3
Lyft,Executives,male,12
Lyft,Managers,female,96
Lyft,Managers,male,163
Lyft,Previous_totals,female,213
Lyft,Previous_totals,male,322
Lyft,Professionals,female,257
Lyft,Professionals,male,426
Lyft,Sales workers,female,21
Lyft,Sales workers,male,35
Lyft,Service workers,female,0
Lyft,Service workers,male,2
Lyft,Technicians,female,0
Lyft,Technicians,male,0
Lyft,Totals,female,609
Lyft,Totals,male,824
Lyft,laborers and helpers,female,0
Lyft,laborers and helpers,male,0
Lyft,operatives,female,0
Lyft,operatives,male,0
MobileIron,Administrative support,female,5
MobileIron,Administrative support,male,0
MobileIron,Craft workers,female,0
MobileIron,Craft workers,male,0
